data;total_multas;total_acidentes
2009-10-18;;379
2009-10-19;;437
2009-10-20;;378
2009-10-21;;366
2009-10-22;;468
2009-10-23;;482
2009-10-24;;451
2009-10-25;;393
2009-10-26;;426
2009-10-27;;440
2009-10-28;;414
2009-10-29;;449
2009-10-30;;533
2009-10-31;;597
2009-11-01;;391
2009-11-02;;441
2009-11-03;;492
2009-11-04;;368
2009-11-05;;391
2009-11-06;;484
2009-11-07;;548
2009-11-08;;441
2009-11-09;;429
2009-11-10;;408
2009-11-11;;376
2009-11-12;;386
2009-11-13;;507
2009-11-14;;469
2009-11-15;;459
2009-11-16;;458
2009-11-17;;360
2009-11-18;;404
2009-11-19;;421
2009-11-20;;505
2009-11-21;;514
2009-11-22;;478
2009-11-23;;419
2009-11-24;;347
2009-11-25;;452
2009-11-26;;387
2009-11-27;;588
2009-11-28;;574
2009-11-29;;512
2009-11-30;;499
2009-12-01;;442
2009-12-02;;433
2009-12-03;;464
2009-12-04;;699
2009-12-05;;659
2009-12-06;;545
2009-12-07;;490
2009-12-08;;459
2009-12-09;;475
2009-12-10;;456
2009-12-11;;566
2009-12-12;;592
2009-12-13;;545
2009-12-14;;431
2009-12-15;;407
2009-12-16;;441
2009-12-17;;562
2009-12-18;;701
2009-12-19;;703
2009-12-20;;622
2009-12-21;;551
2009-12-22;;546
2009-12-23;;725
2009-12-24;;848
2009-12-25;;443
2009-12-26;;484
2009-12-27;;623
2009-12-28;;543
2009-12-29;;489
2009-12-30;;650
2009-12-31;;676
2010-01-01;;300
2010-01-02;;419
2010-01-03;;673
2010-01-04;;534
2010-01-05;;412
2010-01-06;;434
2010-01-07;;407
2010-01-08;;507
2010-01-09;;478
2010-01-10;;473
2010-01-11;;458
2010-01-12;;392
2010-01-13;;406
2010-01-14;;445
2010-01-15;;550
2010-01-16;;513
2010-01-17;;486
2010-01-18;;449
2010-01-19;;385
2010-01-20;;468
2010-01-21;;487
2010-01-22;;539
2010-01-23;;444
2010-01-24;;498
2010-01-25;;483
2010-01-26;;395
2010-01-27;;400
2010-01-28;;406
2010-01-29;;478
2010-01-30;;511
2010-01-31;;458
2010-02-01;;423
2010-02-02;;353
2010-02-03;;404
2010-02-04;;450
2010-02-05;;520
2010-02-06;;512
2010-02-07;;522
2010-02-08;;509
2010-02-09;;518
2010-02-10;;448
2010-02-11;;537
2010-02-12;;756
2010-02-13;;751
2010-02-14;;418
2010-02-15;;356
2010-02-16;;442
2010-02-17;;630
2010-02-18;;498
2010-02-19;;417
2010-02-20;;368
2010-02-21;;387
2010-02-22;;489
2010-02-23;;398
2010-02-24;;431
2010-02-25;;526
2010-02-26;;533
2010-02-27;;457
2010-02-28;;514
2010-03-01;;570
2010-03-02;;459
2010-03-03;;489
2010-03-04;;477
2010-03-05;;539
2010-03-06;;524
2010-03-07;;480
2010-03-08;;461
2010-03-09;;386
2010-03-10;;445
2010-03-11;;409
2010-03-12;;492
2010-03-13;;466
2010-03-14;;540
2010-03-15;;475
2010-03-16;;464
2010-03-17;;400
2010-03-18;;400
2010-03-19;;512
2010-03-20;;544
2010-03-21;;499
2010-03-22;;417
2010-03-23;;434
2010-03-24;;440
2010-03-25;;445
2010-03-26;;543
2010-03-27;;551
2010-03-28;;458
2010-03-29;;472
2010-03-30;;452
2010-03-31;;526
2010-04-01;;749
2010-04-02;;463
2010-04-03;;396
2010-04-04;;863
2010-04-05;;567
2010-04-06;;401
2010-04-07;;364
2010-04-08;;435
2010-04-09;;487
2010-04-10;;532
2010-04-11;;476
2010-04-12;;417
2010-04-13;;345
2010-04-14;;401
2010-04-15;;414
2010-04-16;;545
2010-04-17;;490
2010-04-18;;441
2010-04-19;;425
2010-04-20;;460
2010-04-21;;423
2010-04-22;;456
2010-04-23;;518
2010-04-24;;509
2010-04-25;;432
2010-04-26;;473
2010-04-27;;384
2010-04-28;;412
2010-04-29;;397
2010-04-30;;619
2010-05-01;;554
2010-05-02;;526
2010-05-03;;487
2010-05-04;;441
2010-05-05;;438
2010-05-06;;432
2010-05-07;;644
2010-05-08;;687
2010-05-09;;742
2010-05-10;;599
2010-05-11;;460
2010-05-12;;478
2010-05-13;;472
2010-05-14;;507
2010-05-15;;465
2010-05-16;;473
2010-05-17;;479
2010-05-18;;425
2010-05-19;;437
2010-05-20;;440
2010-05-21;;552
2010-05-22;;584
2010-05-23;;480
2010-05-24;;416
2010-05-25;;435
2010-05-26;;451
2010-05-27;;469
2010-05-28;;551
2010-05-29;;498
2010-05-30;;446
2010-05-31;;502
2010-06-01;;432
2010-06-02;;601
2010-06-03;;514
2010-06-04;;553
2010-06-05;;550
2010-06-06;;565
2010-06-07;;455
2010-06-08;;435
2010-06-09;;454
2010-06-10;;478
2010-06-11;;575
2010-06-12;;518
2010-06-13;;479
2010-06-14;;413
2010-06-15;;437
2010-06-16;;457
2010-06-17;;447
2010-06-18;;547
2010-06-19;;465
2010-06-20;;421
2010-06-21;;502
2010-06-22;;458
